timestamp,source_ip,source_port,destination_ip,destination_port,l4_proto,l2_proto,l7_proto
1716824062.760386,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824062.778973,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824062.816888,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824062.83782,192.168.1.66,60088,172.64.155.141,443,TCP,2048,nil
1716824062.841176,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824062.841413,192.168.1.66,60088,172.64.155.141,443,TCP,2048,nil
1716824062.842856,192.168.1.66,60088,172.64.155.141,443,TCP,2048,nil
1716824062.84717,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824062.891928,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.0062,192.168.1.66,60008,162.159.134.234,443,TCP,2048,nil
1716824063.00834,162.159.134.234,443,192.168.1.66,60008,TCP,2048,nil
1716824063.021483,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.021483,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.021483,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.021483,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.021483,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.021483,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.021483,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.021483,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.021483,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.021483,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.026261,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.033005,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.033038,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.033819,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.036406,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.036406,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.036406,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.036406,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.036406,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.037438,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.039359,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.039478,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.042344,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.042405,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.045374,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.047363,162.247.241.2,443,192.168.1.66,58582,TCP,2048,nil
1716824063.047394,192.168.1.66,58582,162.247.241.2,443,TCP,2048,nil
1716824063.070525,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.085471,162.159.134.234,443,192.168.1.66,60008,TCP,2048,nil
